"sex"	"age"	"kinsey"	"grow.up"	"had.partner"	"N.part"	"town.origin"	"town.now"	"education.self"	"offspring"	"N.offspring"	"planned.child.1"	"planned.child.2"	"planned.child.3"	"planned.child.4"	"planned.child.5"	"planned.child.6"	"planned.child.7"	"planned.child.8"	"planned.child.9"	"planned.child.10"	"good.news.1"	"good.news.2"	"good.news.3"	"good.news.4"	"good.news.5"	"good.news.6"	"good.news.7"	"good.news.8"	"good.news.9"	"good.news.10"	"p.length.1"	"p.length.2"	"p.length.3"	"p.length.4"	"p.length.5"	"p.length.6"	"p.length.7"	"p.length.8"	"p.length.9"	"p.length.10"	"Nkids.1"	"Nkids.2"	"Nkids.3"	"Nkids.4"	"Nkids.5"	"Nkids.6"	"Nkids.7"	"Nkids.8"	"Nkids.9"	"Nkids.10"	"would.good.news.1"	"would.good.news.2"	"would.good.news.3"	"would.good.news.4"	"would.good.news.5"	"would.good.news.6"	"would.good.news.7"	"would.good.news.8"	"would.good.news.9"	"would.good.news.10"	"abort.reason.1"	"abort.reason.2"	"abort.reason.3"	"abort.reason.4"	"abort.reason.5"	"abort.reason.6"	"abort.reason.7"	"abort.reason.8"	"abort.reason.9"	"abort.reason.10"	"break.up.2"	"break.up.3"	"break.up.4"	"break.up.5"	"break.up.6"	"break.up.7"	"break.up.8"	"break.up.9"	"break.up.10"	"residence.1"	"residence.2"	"residence.3"	"residence.4"	"residence.5"	"residence.6"	"residence.7"	"residence.8"	"residence.9"	"residence.10"	"education.1"	"education.2"	"education.3"	"education.4"	"education.5"	"education.6"	"education.7"	"education.8"	"education.9"	"education.10"	"weight.1"	"weight.2"	"weight.3"	"weight.4"	"weight.5"	"weight.6"	"weight.7"	"weight.8"	"weight.9"	"weight.10"	"height.1"	"height.2"	"height.3"	"height.4"	"height.5"	"height.6"	"height.7"	"height.8"	"height.9"	"height.10"	"age.diff.1"	"age.diff.2"	"age.diff.3"	"age.diff.4"	"age.diff.5"	"age.diff.6"	"age.diff.7"	"age.diff.8"	"age.diff.9"	"age.diff.10"	"attractiveness.1"	"attractiveness.2"	"attractiveness.3"	"attractiveness.4"	"attractiveness.5"	"attractiveness.6"	"attractiveness.7"	"attractiveness.8"	"attractiveness.9"	"attractiveness.10"	"masculinity.1"	"masculinity.2"	"masculinity.3"	"masculinity.4"	"masculinity.5"	"masculinity.6"	"masculinity.7"	"masculinity.8"	"masculinity.9"	"masculinity.10"	"eyes.1"	"eyes.2"	"eyes.3"	"eyes.4"	"eyes.5"	"eyes.6"	"eyes.7"	"eyes.8"	"eyes.9"	"eyes.10"	"hair.1"	"hair.2"	"hair.3"	"hair.4"	"hair.5"	"hair.6"	"hair.7"	"hair.8"	"hair.9"	"hair.10"	"natural.hair.1"	"natural.hair.2"	"natural.hair.3"	"natural.hair.4"	"natural.hair.5"	"natural.hair.6"	"natural.hair.7"	"natural.hair.8"	"natural.hair.9"	"natural.hair.10"	"face.masculinity.1"	"face.masculinity.2"	"face.masculinity.3"	"face.masculinity.4"	"face.masculinity.5"	"face.masculinity.6"	"face.masculinity.7"	"face.masculinity.8"	"face.masculinity.9"	"face.masculinity.10"	"beard.1"	"beard.2"	"beard.3"	"beard.4"	"beard.5"	"beard.6"	"beard.7"	"beard.8"	"beard.9"	"beard.10"	"muscles.1"	"muscles.2"	"muscles.3"	"muscles.4"	"muscles.5"	"muscles.6"	"muscles.7"	"muscles.8"	"muscles.9"	"muscles.10"	"BMI.1"	"BMI.2"	"BMI.3"	"BMI.4"	"BMI.5"	"BMI.6"	"BMI.7"	"BMI.8"	"BMI.9"	"BMI.10"	"relative.height.1"	"relative.height.2"	"relative.height.3"	"relative.height.4"	"relative.height.5"	"relative.height.6"	"relative.height.7"	"relative.height.8"	"relative.height.9"	"relative.height.10"	"body.hair.1"	"body.hair.2"	"body.hair.3"	"body.hair.4"	"body.hair.5"	"body.hair.6"	"body.hair.7"	"body.hair.8"	"body.hair.9"	"body.hair.10"	"leg.length.1"	"leg.length.2"	"leg.length.3"	"leg.length.4"	"leg.length.5"	"leg.length.6"	"leg.length.7"	"leg.length.8"	"leg.length.9"	"leg.length.10"	"extraversion.1"	"extraversion.2"	"extraversion.3"	"extraversion.4"	"extraversion.5"	"extraversion.6"	"extraversion.7"	"extraversion.8"	"extraversion.9"	"extraversion.10"	"agreeableness.1"	"agreeableness.2"	"agreeableness.3"	"agreeableness.4"	"agreeableness.5"	"agreeableness.6"	"agreeableness.7"	"agreeableness.8"	"agreeableness.9"	"agreeableness.10"	"conscientiousness.1"	"conscientiousness.2"	"conscientiousness.3"	"conscientiousness.4"	"conscientiousness.5"	"conscientiousness.6"	"conscientiousness.7"	"conscientiousness.8"	"conscientiousness.9"	"conscientiousness.10"	"stability.1"	"stability.2"	"stability.3"	"stability.4"	"stability.5"	"stability.6"	"stability.7"	"stability.8"	"stability.9"	"stability.10"	"openness.1"	"openness.2"	"openness.3"	"openness.4"	"openness.5"	"openness.6"	"openness.7"	"openness.8"	"openness.9"	"openness.10"	"SOI.1"	"SOI.2"	"SOI.3"	"SOI.4"	"SOI.5"	"SOI.6"	"SOI.7"	"SOI.8"	"SOI.9"	"soi.behavior"	"soi.attitude"	"soi.desire"	"soi.total"
"F"	36	1	1	1	2	1	1	4	1	3	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	7	7	4	NA	NA	NA	NA	NA	NA	NA	185	179	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	49	NA	NA	NA	NA	NA	NA	NA	NA	5	6	NA	NA	NA	NA	NA	NA	NA	NA	5	4	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	9	6	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	10	11	NA	NA	NA	NA	NA	NA	NA	NA	14	10	NA	NA	NA	NA	NA	NA	NA	NA	13	10	NA	NA	NA	NA	NA	NA	NA	NA	13	7	NA	NA	NA	NA	NA	NA	NA	NA	10	9	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	8	6	2	2	2	2	5	22	6	33
"F"	37	1	1	1	3	4	3	3	1	2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	132	324	24	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	1	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	3	3	4	NA	NA	NA	NA	NA	NA	NA	2	2	2	NA	NA	NA	NA	NA	NA	NA	75	75	80	NA	NA	NA	NA	NA	NA	NA	188	175	180	NA	NA	NA	NA	NA	NA	NA	82	13	16	NA	NA	NA	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	NA	NA	NA	2	4	1	NA	NA	NA	NA	NA	NA	NA	4	7	8	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	5	1	3	NA	NA	NA	NA	NA	NA	NA	1	2	2	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	2	4	2	NA	NA	NA	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	1	2	4	NA	NA	NA	NA	NA	NA	NA	4	1	2	NA	NA	NA	NA	NA	NA	NA	14	13	13	NA	NA	NA	NA	NA	NA	NA	14	13	13	NA	NA	NA	NA	NA	NA	NA	14	13	8	NA	NA	NA	NA	NA	NA	NA	14	12	11	NA	NA	NA	NA	NA	NA	NA	11	8	5	NA	NA	NA	NA	NA	NA	NA	2	5	3	4	4	1	2	2	2	10	17	6	33
"F"	21	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F"	30	1	1	1	3	2	2	4	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	84	252	24	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	2	2	2	NA	NA	NA	NA	NA	NA	NA	4	4	2	NA	NA	NA	NA	NA	NA	NA	92	85	85	NA	NA	NA	NA	NA	NA	NA	191	183	190	NA	NA	NA	NA	NA	NA	NA	10	-3	35	NA	NA	NA	NA	NA	NA	NA	7	6	4	NA	NA	NA	NA	NA	NA	NA	5	6	4	NA	NA	NA	NA	NA	NA	NA	2	3	4	NA	NA	NA	NA	NA	NA	NA	9	5	5	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	4	5	1	NA	NA	NA	NA	NA	NA	NA	4	1	1	NA	NA	NA	NA	NA	NA	NA	3	4	1	NA	NA	NA	NA	NA	NA	NA	2	2	1	NA	NA	NA	NA	NA	NA	NA	3	4	3	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	4	2	5	NA	NA	NA	NA	NA	NA	NA	14	14	12	NA	NA	NA	NA	NA	NA	NA	14	14	14	NA	NA	NA	NA	NA	NA	NA	14	14	14	NA	NA	NA	NA	NA	NA	NA	14	14	14	NA	NA	NA	NA	NA	NA	NA	14	14	10	NA	NA	NA	NA	NA	NA	NA	2	1	2	1	1	3	1	5	2	5	9	8	22
"F"	28	2	1	1	3	4	4	4	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	107	183	43	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	2	2	1	NA	NA	NA	NA	NA	NA	NA	""	"4,5,6"	""	""	NA	""	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	2	2	4	NA	NA	NA	NA	NA	NA	NA	4	2	4	NA	NA	NA	NA	NA	NA	NA	85	85	70	NA	NA	NA	NA	NA	NA	NA	182	184	185	NA	NA	NA	NA	NA	NA	NA	11	34	-6	NA	NA	NA	NA	NA	NA	NA	5	6	7	NA	NA	NA	NA	NA	NA	NA	5	6	5	NA	NA	NA	NA	NA	NA	NA	2	4	2	NA	NA	NA	NA	NA	NA	NA	8	6	8	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	2	4	2	NA	NA	NA	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	2	3	2	NA	NA	NA	NA	NA	NA	NA	2	3	2	NA	NA	NA	NA	NA	NA	NA	4	3	3	NA	NA	NA	NA	NA	NA	NA	2	5	1	NA	NA	NA	NA	NA	NA	NA	3	2	4	NA	NA	NA	NA	NA	NA	NA	12	10	6	NA	NA	NA	NA	NA	NA	NA	11	11	12	NA	NA	NA	NA	NA	NA	NA	8	5	11	NA	NA	NA	NA	NA	NA	NA	12	11	12	NA	NA	NA	NA	NA	NA	NA	5	8	6	NA	NA	NA	NA	NA	NA	NA	2	6	6	4	1	3	1	2	1	14	12	4	30
"F"	23	1	1	1	2	4	3	3	1	1	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	13	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	78	100	NA	NA	NA	NA	NA	NA	NA	NA	178	170	NA	NA	NA	NA	NA	NA	NA	NA	120	41	NA	NA	NA	NA	NA	NA	NA	NA	7	5	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	1	4	4	NA	NA	NA	NA	NA	NA	NA	8	6	5	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	NA	NA	NA	NA	NA	5	6	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	12	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	11	NA	NA	NA	NA	NA	NA	NA	NA	12	11	NA	NA	NA	NA	NA	NA	NA	NA	11	10	NA	NA	NA	NA	NA	NA	NA	NA	2	5	5	4	4	1	5	5	6	12	17	16	45
"F"	18	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F"	37	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F"	24	1	1	1	1	4	4	4	1	2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	7	5	NA	NA	NA	NA	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	3	2	1	2	2	1	4	14	5	23
"F"	36	1	1	1	2	3	3	1	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	349	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	85	75	NA	NA	NA	NA	NA	NA	NA	NA	176	179	NA	NA	NA	NA	NA	NA	NA	NA	48	48	NA	NA	NA	NA	NA	NA	NA	NA	7	3	NA	NA	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	6	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	6	5	NA	NA	NA	NA	NA	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	10	14	NA	NA	NA	NA	NA	NA	NA	NA	14	3	NA	NA	NA	NA	NA	NA	NA	NA	14	2	NA	NA	NA	NA	NA	NA	NA	NA	13	3	NA	NA	NA	NA	NA	NA	NA	NA	8	11	NA	NA	NA	NA	NA	NA	NA	NA	2	4	4	2	2	7	2	2	2	10	7	6	23
"F"	27	1	1	1	3	1	1	4	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	360	36	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	1	3	NA	NA	NA	NA	NA	NA	NA	4	4	3	NA	NA	NA	NA	NA	NA	NA	75	75	61	NA	NA	NA	NA	NA	NA	NA	185	190	185	NA	NA	NA	NA	NA	NA	NA	21	6	8	NA	NA	NA	NA	NA	NA	NA	4	4	4	NA	NA	NA	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	NA	NA	NA	1	2	2	NA	NA	NA	NA	NA	NA	NA	1	9	8	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	2	2	5	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	2	2	2	NA	NA	NA	NA	NA	NA	NA	1	5	2	NA	NA	NA	NA	NA	NA	NA	2	4	4	NA	NA	NA	NA	NA	NA	NA	14	14	5	NA	NA	NA	NA	NA	NA	NA	12	13	8	NA	NA	NA	NA	NA	NA	NA	4	10	5	NA	NA	NA	NA	NA	NA	NA	13	13	7	NA	NA	NA	NA	NA	NA	NA	8	9	7	NA	NA	NA	NA	NA	NA	NA	2	2	4	6	9	3	2	2	2	8	22	6	36
"F"	18	1	1	1	2	4	4	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
